Planning Area,Subzone,Age,Sex,Population
Total,Total,0.0,Total,29250.0
Total,Total,0.0,Males,14970.0
Total,Total,0.0,Females,14280.0
Total,Total,1.0,Total,32080.0
Total,Total,1.0,Males,16590.0
Total,Total,1.0,Females,15490.0
Total,Total,2.0,Total,35020.0
Total,Total,2.0,Males,17910.0
Total,Total,2.0,Females,17110.0
Total,Total,3.0,Total,35390.0
Total,Total,3.0,Males,18100.0
Total,Total,3.0,Females,17290.0
Total,Total,4.0,Total,38760.0
Total,Total,4.0,Males,19800.0
Total,Total,4.0,Females,18960.0
Total,Total,5.0,Total,38570.0
Total,Total,5.0,Males,19590.0
Total,Total,5.0,Females,18980.0
Total,Total,6.0,Total,39020.0
Total,Total,6.0,Males,20000.0
Total,Total,6.0,Females,19020.0
Total,Total,7.0,Total,40210.0
Total,Total,7.0,Males,20560.0
Total,Total,7.0,Females,19650.0
Total,Total,8.0,Total,41940.0
Total,Total,8.0,Males,21520.0
Total,Total,8.0,Females,20420.0
Total,Total,9.0,Total,42340.0
Total,Total,9.0,Males,21620.0
Total,Total,9.0,Females,20720.0
Total,Total,10.0,Total,40560.0
Total,Total,10.0,Males,20660.0
Total,Total,10.0,Females,19900.0
Total,Total,11.0,Total,42270.0
Total,Total,11.0,Males,21810.0
Total,Total,11.0,Females,20470.0
Total,Total,12.0,Total,41340.0
Total,Total,12.0,Males,21050.0
Total,Total,12.0,Females,20290.0
Total,Total,13.0,Total,39120.0
Total,Total,13.0,Males,19940.0
Total,Total,13.0,Females,19180.0
Total,Total,14.0,Total,41110.0
Total,Total,14.0,Males,20800.0
Total,Total,14.0,Females,20300.0
Total,Total,15.0,Total,42080.0
Total,Total,15.0,Males,21430.0
Total,Total,15.0,Females,20650.0
Total,Total,16.0,Total,43610.0
Total,Total,16.0,Males,22020.0
Total,Total,16.0,Females,21590.0
Total,Total,17.0,Total,41950.0
Total,Total,17.0,Males,21460.0
Total,Total,17.0,Females,20500.0
Total,Total,18.0,Total,41810.0
Total,Total,18.0,Males,21260.0
Total,Total,18.0,Females,20550.0
Total,Total,19.0,Total,41610.0
Total,Total,19.0,Males,21090.0
Total,Total,19.0,Females,20520.0
Total,Total,20.0,Total,41200.0
Total,Total,20.0,Males,20990.0
Total,Total,20.0,Females,20220.0
Total,Total,21.0,Total,43080.0
Total,Total,21.0,Males,21780.0
Total,Total,21.0,Females,21300.0
Total,Total,22.0,Total,43550.0
Total,Total,22.0,Males,22250.0
Total,Total,22.0,Females,21300.0
Total,Total,23.0,Total,48690.0
Total,Total,23.0,Males,24860.0
Total,Total,23.0,Females,23840.0
Total,Total,24.0,Total,48120.0
Total,Total,24.0,Males,24540.0
Total,Total,24.0,Females,23580.0
Total,Total,25.0,Total,47080.0
Total,Total,25.0,Males,24020.0
Total,Total,25.0,Females,23060.0
Total,Total,26.0,Total,51710.0
Total,Total,26.0,Males,25970.0
Total,Total,26.0,Females,25740.0
Total,Total,27.0,Total,54210.0
Total,Total,27.0,Males,27160.0
Total,Total,27.0,Females,27060.0
Total,Total,28.0,Total,57200.0
Total,Total,28.0,Males,28350.0
Total,Total,28.0,Females,28840.0
Total,Total,29.0,Total,59340.0
Total,Total,29.0,Males,29330.0
Total,Total,29.0,Females,30000.0
Total,Total,30.0,Total,62110.0
Total,Total,30.0,Males,30390.0
Total,Total,30.0,Females,31710.0
Total,Total,31.0,Total,63100.0
Total,Total,31.0,Males,30840.0
Total,Total,31.0,Females,32260.0
Total,Total,32.0,Total,63390.0
Total,Total,32.0,Males,30390.0
Total,Total,32.0,Females,33000.0
Total,Total,33.0,Total,67070.0
Total,Total,33.0,Males,32410.0
Total,Total,33.0,Females,34660.0
Total,Total,34.0,Total,64820.0
Total,Total,34.0,Males,31150.0
Total,Total,34.0,Females,33680.0
Total,Total,35.0,Total,70470.0
Total,Total,35.0,Males,33630.0
Total,Total,35.0,Females,36850.0
Total,Total,36.0,Total,65250.0
Total,Total,36.0,Males,30960.0
Total,Total,36.0,Females,34290.0
Total,Total,37.0,Total,57590.0
Total,Total,37.0,Males,27010.0
Total,Total,37.0,Females,30580.0
Total,Total,38.0,Total,59440.0
Total,Total,38.0,Males,28140.0
Total,Total,38.0,Females,31300.0
Total,Total,39.0,Total,61830.0
Total,Total,39.0,Males,29060.0
Total,Total,39.0,Females,32770.0
Total,Total,40.0,Total,59870.0
Total,Total,40.0,Males,28070.0
Total,Total,40.0,Females,31800.0
Total,Total,41.0,Total,63450.0
Total,Total,41.0,Males,29850.0
Total,Total,41.0,Females,33600.0
Total,Total,42.0,Total,63390.0
Total,Total,42.0,Males,30030.0
Total,Total,42.0,Females,33360.0
Total,Total,43.0,Total,62470.0
Total,Total,43.0,Males,29420.0
Total,Total,43.0,Females,33050.0
Total,Total,44.0,Total,61090.0
Total,Total,44.0,Males,29040.0
Total,Total,44.0,Females,32050.0
Total,Total,45.0,Total,61140.0
Total,Total,45.0,Males,28880.0
Total,Total,45.0,Females,32260.0
Total,Total,46.0,Total,58670.0
Total,Total,46.0,Males,27870.0
Total,Total,46.0,Females,30800.0
Total,Total,47.0,Total,61960.0
Total,Total,47.0,Males,29620.0
Total,Total,47.0,Females,32340.0
Total,Total,48.0,Total,59470.0
Total,Total,48.0,Males,28520.0
Total,Total,48.0,Females,30960.0
Total,Total,49.0,Total,59990.0
Total,Total,49.0,Males,28980.0
Total,Total,49.0,Females,31010.0
Total,Total,50.0,Total,62350.0
Total,Total,50.0,Males,30070.0
Total,Total,50.0,Females,32280.0
Total,Total,51.0,Total,64760.0
Total,Total,51.0,Males,31580.0
Total,Total,51.0,Females,33180.0
Total,Total,52.0,Total,62270.0
Total,Total,52.0,Males,30330.0
Total,Total,52.0,Females,31940.0
Total,Total,53.0,Total,60810.0
Total,Total,53.0,Males,29470.0
Total,Total,53.0,Females,31340.0
Total,Total,54.0,Total,57150.0
Total,Total,54.0,Males,27620.0
Total,Total,54.0,Females,29530.0
Total,Total,55.0,Total,56740.0
Total,Total,55.0,Males,27280.0
Total,Total,55.0,Females,29460.0
Total,Total,56.0,Total,58450.0
Total,Total,56.0,Males,28740.0
Total,Total,56.0,Females,29710.0
Total,Total,57.0,Total,58100.0
Total,Total,57.0,Males,28620.0
Total,Total,57.0,Females,29480.0
Total,Total,58.0,Total,61000.0
Total,Total,58.0,Males,30220.0
Total,Total,58.0,Females,30780.0
Total,Total,59.0,Total,59940.0
Total,Total,59.0,Males,29810.0
Total,Total,59.0,Females,30140.0
Total,Total,60.0,Total,61600.0
Total,Total,60.0,Males,30570.0
Total,Total,60.0,Females,31030.0
Total,Total,61.0,Total,60020.0
Total,Total,61.0,Males,29760.0
Total,Total,61.0,Females,30260.0
Total,Total,62.0,Total,58670.0
Total,Total,62.0,Males,29110.0
Total,Total,62.0,Females,29560.0
Total,Total,63.0,Total,58510.0
Total,Total,63.0,Males,29140.0
Total,Total,63.0,Females,29370.0
Total,Total,64.0,Total,57850.0
Total,Total,64.0,Males,28640.0
Total,Total,64.0,Females,29200.0
Total,Total,65.0,Total,56950.0
Total,Total,65.0,Males,28220.0
Total,Total,65.0,Females,28730.0
Total,Total,66.0,Total,55090.0
Total,Total,66.0,Males,27030.0
Total,Total,66.0,Females,28060.0
Total,Total,67.0,Total,53960.0
Total,Total,67.0,Males,26390.0
Total,Total,67.0,Females,27570.0
Total,Total,68.0,Total,51440.0
Total,Total,68.0,Males,25040.0
Total,Total,68.0,Females,26400.0
Total,Total,69.0,Total,48730.0
Total,Total,69.0,Males,23550.0
Total,Total,69.0,Females,25180.0
Total,Total,70.0,Total,47110.0
Total,Total,70.0,Males,23050.0
Total,Total,70.0,Females,24060.0
Total,Total,71.0,Total,43470.0
Total,Total,71.0,Males,21090.0
Total,Total,71.0,Females,22380.0
Total,Total,72.0,Total,40750.0
Total,Total,72.0,Males,19430.0
Total,Total,72.0,Females,21320.0
Total,Total,73.0,Total,37810.0
Total,Total,73.0,Males,18050.0
Total,Total,73.0,Females,19760.0
Total,Total,74.0,Total,37380.0
Total,Total,74.0,Males,17640.0
Total,Total,74.0,Females,19740.0
Total,Total,75.0,Total,35250.0
Total,Total,75.0,Males,16580.0
Total,Total,75.0,Females,18660.0
Total,Total,76.0,Total,32420.0
Total,Total,76.0,Males,14880.0
Total,Total,76.0,Females,17530.0
Total,Total,77.0,Total,31280.0
Total,Total,77.0,Males,14240.0
Total,Total,77.0,Females,17040.0
Total,Total,78.0,Total,20400.0
Total,Total,78.0,Males,9240.0
Total,Total,78.0,Females,11170.0
Total,Total,79.0,Total,15270.0
Total,Total,79.0,Males,6760.0
Total,Total,79.0,Females,8510.0
Total,Total,80.0,Total,18260.0
Total,Total,80.0,Males,8050.0
Total,Total,80.0,Females,10200.0
Total,Total,81.0,Total,14950.0
Total,Total,81.0,Males,6520.0
Total,Total,81.0,Females,8430.0
Total,Total,82.0,Total,14290.0
Total,Total,82.0,Males,5860.0
Total,Total,82.0,Females,8430.0
Total,Total,83.0,Total,15630.0
Total,Total,83.0,Males,6400.0
Total,Total,83.0,Females,9230.0
Total,Total,84.0,Total,14420.0
Total,Total,84.0,Males,5760.0
Total,Total,84.0,Females,8660.0
Total,Total,85.0,Total,12930.0
Total,Total,85.0,Males,5010.0
Total,Total,85.0,Females,7920.0
Total,Total,86.0,Total,9790.0
Total,Total,86.0,Males,3890.0
Total,Total,86.0,Females,5910.0
Total,Total,87.0,Total,7380.0
Total,Total,87.0,Males,2880.0
Total,Total,87.0,Females,4500.0
Total,Total,88.0,Total,6870.0
Total,Total,88.0,Males,2560.0
Total,Total,88.0,Females,4310.0
Total,Total,89.0,Total,6940.0
Total,Total,89.0,Males,2450.0
Total,Total,89.0,Females,4490.0
Ang Mo Kio,Total,0.0,Total,810.0
Ang Mo Kio,Total,0.0,Males,410.0
Ang Mo Kio,Total,0.0,Females,410.0
Ang Mo Kio,Total,1.0,Total,840.0
Ang Mo Kio,Total,1.0,Males,430.0
Ang Mo Kio,Total,1.0,Females,400.0
Ang Mo Kio,Total,2.0,Total,850.0
Ang Mo Kio,Total,2.0,Males,420.0
Ang Mo Kio,Total,2.0,Females,420.0
Ang Mo Kio,Total,3.0,Total,910.0
Ang Mo Kio,Total,3.0,Males,460.0
Ang Mo Kio,Total,3.0,Females,450.0
Ang Mo Kio,Total,4.0,Total,1030.0
Ang Mo Kio,Total,4.0,Males,530.0
Ang Mo Kio,Total,4.0,Females,500.0
Ang Mo Kio,Total,5.0,Total,1040.0
Ang Mo Kio,Total,5.0,Males,530.0
Ang Mo Kio,Total,5.0,Females,510.0
Ang Mo Kio,Total,6.0,Total,1130.0
Ang Mo Kio,Total,6.0,Males,530.0
Ang Mo Kio,Total,6.0,Females,610.0
Ang Mo Kio,Total,7.0,Total,1190.0
Ang Mo Kio,Total,7.0,Males,590.0
Ang Mo Kio,Total,7.0,Females,600.0
Ang Mo Kio,Total,8.0,Total,1250.0
Ang Mo Kio,Total,8.0,Males,600.0
Ang Mo Kio,Total,8.0,Females,650.0
Ang Mo Kio,Total,9.0,Total,1270.0
Ang Mo Kio,Total,9.0,Males,670.0
Ang Mo Kio,Total,9.0,Females,610.0
Ang Mo Kio,Total,10.0,Total,1220.0
Ang Mo Kio,Total,10.0,Males,580.0
Ang Mo Kio,Total,10.0,Females,640.0
Ang Mo Kio,Total,11.0,Total,1350.0
Ang Mo Kio,Total,11.0,Males,680.0
Ang Mo Kio,Total,11.0,Females,670.0
Ang Mo Kio,Total,12.0,Total,1330.0
Ang Mo Kio,Total,12.0,Males,680.0
Ang Mo Kio,Total,12.0,Females,650.0
Ang Mo Kio,Total,13.0,Total,1260.0
Ang Mo Kio,Total,13.0,Males,640.0
Ang Mo Kio,Total,13.0,Females,630.0
Ang Mo Kio,Total,14.0,Total,1270.0
Ang Mo Kio,Total,14.0,Males,640.0
Ang Mo Kio,Total,14.0,Females,630.0
Ang Mo Kio,Total,15.0,Total,1450.0
Ang Mo Kio,Total,15.0,Males,710.0
Ang Mo Kio,Total,15.0,Females,740.0
Ang Mo Kio,Total,16.0,Total,1440.0
Ang Mo Kio,Total,16.0,Males,730.0
Ang Mo Kio,Total,16.0,Females,710.0
Ang Mo Kio,Total,17.0,Total,1450.0
Ang Mo Kio,Total,17.0,Males,730.0
Ang Mo Kio,Total,17.0,Females,720.0
Ang Mo Kio,Total,18.0,Total,1500.0
Ang Mo Kio,Total,18.0,Males,800.0
Ang Mo Kio,Total,18.0,Females,700.0
Ang Mo Kio,Total,19.0,Total,1500.0
Ang Mo Kio,Total,19.0,Males,750.0
Ang Mo Kio,Total,19.0,Females,750.0
Ang Mo Kio,Total,20.0,Total,1410.0
Ang Mo Kio,Total,20.0,Males,700.0
Ang Mo Kio,Total,20.0,Females,700.0
Ang Mo Kio,Total,21.0,Total,1500.0
Ang Mo Kio,Total,21.0,Males,790.0
Ang Mo Kio,Total,21.0,Females,710.0
Ang Mo Kio,Total,22.0,Total,1520.0
Ang Mo Kio,Total,22.0,Males,780.0
Ang Mo Kio,Total,22.0,Females,740.0
Ang Mo Kio,Total,23.0,Total,1710.0
Ang Mo Kio,Total,23.0,Males,880.0
Ang Mo Kio,Total,23.0,Females,830.0
Ang Mo Kio,Total,24.0,Total,1720.0
Ang Mo Kio,Total,24.0,Males,870.0
Ang Mo Kio,Total,24.0,Females,850.0
Ang Mo Kio,Total,25.0,Total,1680.0
Ang Mo Kio,Total,25.0,Males,890.0
Ang Mo Kio,Total,25.0,Females,790.0
Ang Mo Kio,Total,26.0,Total,1750.0
Ang Mo Kio,Total,26.0,Males,890.0
Ang Mo Kio,Total,26.0,Females,860.0
Ang Mo Kio,Total,27.0,Total,1890.0
Ang Mo Kio,Total,27.0,Males,950.0
Ang Mo Kio,Total,27.0,Females,940.0
Ang Mo Kio,Total,28.0,Total,1960.0
Ang Mo Kio,Total,28.0,Males,980.0
Ang Mo Kio,Total,28.0,Females,980.0
Ang Mo Kio,Total,29.0,Total,1960.0
Ang Mo Kio,Total,29.0,Males,1000.0
Ang Mo Kio,Total,29.0,Females,960.0
Ang Mo Kio,Total,30.0,Total,2140.0
Ang Mo Kio,Total,30.0,Males,1060.0
Ang Mo Kio,Total,30.0,Females,1080.0
Ang Mo Kio,Total,31.0,Total,2010.0
Ang Mo Kio,Total,31.0,Males,980.0
Ang Mo Kio,Total,31.0,Females,1030.0
Ang Mo Kio,Total,32.0,Total,2100.0
Ang Mo Kio,Total,32.0,Males,1020.0
Ang Mo Kio,Total,32.0,Females,1080.0
Ang Mo Kio,Total,33.0,Total,2030.0
Ang Mo Kio,Total,33.0,Males,980.0
Ang Mo Kio,Total,33.0,Females,1040.0
Ang Mo Kio,Total,34.0,Total,2000.0
Ang Mo Kio,Total,34.0,Males,930.0
Ang Mo Kio,Total,34.0,Females,1070.0
Ang Mo Kio,Total,35.0,Total,2200.0
Ang Mo Kio,Total,35.0,Males,1050.0
Ang Mo Kio,Total,35.0,Females,1160.0
Ang Mo Kio,Total,36.0,Total,1970.0
Ang Mo Kio,Total,36.0,Males,900.0
Ang Mo Kio,Total,36.0,Females,1070.0
Ang Mo Kio,Total,37.0,Total,1730.0
Ang Mo Kio,Total,37.0,Males,820.0
Ang Mo Kio,Total,37.0,Females,920.0
Ang Mo Kio,Total,38.0,Total,1860.0
Ang Mo Kio,Total,38.0,Males,840.0
Ang Mo Kio,Total,38.0,Females,1020.0
Ang Mo Kio,Total,39.0,Total,1850.0
Ang Mo Kio,Total,39.0,Males,870.0
Ang Mo Kio,Total,39.0,Females,980.0
Ang Mo Kio,Total,40.0,Total,1960.0
Ang Mo Kio,Total,40.0,Males,870.0
Ang Mo Kio,Total,40.0,Females,1100.0
Ang Mo Kio,Total,41.0,Total,2070.0
Ang Mo Kio,Total,41.0,Males,920.0
Ang Mo Kio,Total,41.0,Females,1150.0
Ang Mo Kio,Total,42.0,Total,2170.0
Ang Mo Kio,Total,42.0,Males,1010.0
Ang Mo Kio,Total,42.0,Females,1170.0
Ang Mo Kio,Total,43.0,Total,2280.0
Ang Mo Kio,Total,43.0,Males,1050.0
Ang Mo Kio,Total,43.0,Females,1230.0
Ang Mo Kio,Total,44.0,Total,2220.0
Ang Mo Kio,Total,44.0,Males,1040.0
Ang Mo Kio,Total,44.0,Females,1180.0
Ang Mo Kio,Total,45.0,Total,2270.0
Ang Mo Kio,Total,45.0,Males,1080.0
Ang Mo Kio,Total,45.0,Females,1190.0
Ang Mo Kio,Total,46.0,Total,2150.0
Ang Mo Kio,Total,46.0,Males,980.0
Ang Mo Kio,Total,46.0,Females,1170.0
Ang Mo Kio,Total,47.0,Total,2270.0
Ang Mo Kio,Total,47.0,Males,1090.0
Ang Mo Kio,Total,47.0,Females,1180.0
Ang Mo Kio,Total,48.0,Total,2220.0
Ang Mo Kio,Total,48.0,Males,990.0
Ang Mo Kio,Total,48.0,Females,1220.0
Ang Mo Kio,Total,49.0,Total,2320.0
Ang Mo Kio,Total,49.0,Males,1100.0
Ang Mo Kio,Total,49.0,Females,1220.0
Ang Mo Kio,Total,50.0,Total,2410.0
Ang Mo Kio,Total,50.0,Males,1140.0
Ang Mo Kio,Total,50.0,Females,1280.0
Ang Mo Kio,Total,51.0,Total,2580.0
Ang Mo Kio,Total,51.0,Males,1190.0
Ang Mo Kio,Total,51.0,Females,1400.0
Ang Mo Kio,Total,52.0,Total,2370.0
Ang Mo Kio,Total,52.0,Males,1140.0
Ang Mo Kio,Total,52.0,Females,1230.0
Ang Mo Kio,Total,53.0,Total,2370.0
Ang Mo Kio,Total,53.0,Males,1160.0
Ang Mo Kio,Total,53.0,Females,1210.0
Ang Mo Kio,Total,54.0,Total,2360.0
Ang Mo Kio,Total,54.0,Males,1130.0
Ang Mo Kio,Total,54.0,Females,1230.0
Ang Mo Kio,Total,55.0,Total,2230.0
Ang Mo Kio,Total,55.0,Males,1070.0
Ang Mo Kio,Total,55.0,Females,1160.0
Ang Mo Kio,Total,56.0,Total,2250.0
Ang Mo Kio,Total,56.0,Males,1070.0
Ang Mo Kio,Total,56.0,Females,1180.0
Ang Mo Kio,Total,57.0,Total,2310.0
Ang Mo Kio,Total,57.0,Males,1110.0
Ang Mo Kio,Total,57.0,Females,1200.0
Ang Mo Kio,Total,58.0,Total,2410.0
Ang Mo Kio,Total,58.0,Males,1210.0
Ang Mo Kio,Total,58.0,Females,1200.0
Ang Mo Kio,Total,59.0,Total,2460.0
Ang Mo Kio,Total,59.0,Males,1150.0
Ang Mo Kio,Total,59.0,Females,1310.0
Ang Mo Kio,Total,60.0,Total,2480.0
Ang Mo Kio,Total,60.0,Males,1210.0
Ang Mo Kio,Total,60.0,Females,1260.0
Ang Mo Kio,Total,61.0,Total,2500.0
Ang Mo Kio,Total,61.0,Males,1200.0
Ang Mo Kio,Total,61.0,Females,1300.0
Ang Mo Kio,Total,62.0,Total,2420.0
Ang Mo Kio,Total,62.0,Males,1230.0
Ang Mo Kio,Total,62.0,Females,1190.0
Ang Mo Kio,Total,63.0,Total,2440.0
Ang Mo Kio,Total,63.0,Males,1240.0
Ang Mo Kio,Total,63.0,Females,1200.0
Ang Mo Kio,Total,64.0,Total,2510.0
Ang Mo Kio,Total,64.0,Males,1240.0
Ang Mo Kio,Total,64.0,Females,1270.0
Ang Mo Kio,Total,65.0,Total,2440.0
Ang Mo Kio,Total,65.0,Males,1200.0
Ang Mo Kio,Total,65.0,Females,1240.0
Ang Mo Kio,Total,66.0,Total,2410.0
Ang Mo Kio,Total,66.0,Males,1110.0
Ang Mo Kio,Total,66.0,Females,1300.0
Ang Mo Kio,Total,67.0,Total,2470.0
Ang Mo Kio,Total,67.0,Males,1130.0
Ang Mo Kio,Total,67.0,Females,1340.0
Ang Mo Kio,Total,68.0,Total,2380.0
Ang Mo Kio,Total,68.0,Males,1050.0
Ang Mo Kio,Total,68.0,Females,1330.0
Ang Mo Kio,Total,69.0,Total,2320.0
Ang Mo Kio,Total,69.0,Males,1060.0
Ang Mo Kio,Total,69.0,Females,1270.0
Ang Mo Kio,Total,70.0,Total,2330.0
Ang Mo Kio,Total,70.0,Males,1050.0
Ang Mo Kio,Total,70.0,Females,1280.0
Ang Mo Kio,Total,71.0,Total,2310.0
Ang Mo Kio,Total,71.0,Males,1060.0
Ang Mo Kio,Total,71.0,Females,1250.0
Ang Mo Kio,Total,72.0,Total,2230.0
Ang Mo Kio,Total,72.0,Males,1000.0
Ang Mo Kio,Total,72.0,Females,1230.0
Ang Mo Kio,Total,73.0,Total,2150.0
Ang Mo Kio,Total,73.0,Males,950.0
Ang Mo Kio,Total,73.0,Females,1200.0
Ang Mo Kio,Total,74.0,Total,2050.0
Ang Mo Kio,Total,74.0,Males,920.0
Ang Mo Kio,Total,74.0,Females,1130.0
Ang Mo Kio,Total,75.0,Total,2020.0
Ang Mo Kio,Total,75.0,Males,970.0
Ang Mo Kio,Total,75.0,Females,1050.0
Ang Mo Kio,Total,76.0,Total,1850.0
Ang Mo Kio,Total,76.0,Males,820.0
Ang Mo Kio,Total,76.0,Females,1030.0
Ang Mo Kio,Total,77.0,Total,1910.0
Ang Mo Kio,Total,77.0,Males,820.0
Ang Mo Kio,Total,77.0,Females,1080.0
Ang Mo Kio,Total,78.0,Total,1250.0
Ang Mo Kio,Total,78.0,Males,540.0
Ang Mo Kio,Total,78.0,Females,710.0
Ang Mo Kio,Total,79.0,Total,940.0
Ang Mo Kio,Total,79.0,Males,410.0
Ang Mo Kio,Total,79.0,Females,530.0
Ang Mo Kio,Total,80.0,Total,1160.0
Ang Mo Kio,Total,80.0,Males,520.0
Ang Mo Kio,Total,80.0,Females,640.0
Ang Mo Kio,Total,81.0,Total,970.0
Ang Mo Kio,Total,81.0,Males,410.0
Ang Mo Kio,Total,81.0,Females,560.0
Ang Mo Kio,Total,82.0,Total,910.0
Ang Mo Kio,Total,82.0,Males,360.0
Ang Mo Kio,Total,82.0,Females,550.0
Ang Mo Kio,Total,83.0,Total,1020.0
Ang Mo Kio,Total,83.0,Males,430.0
Ang Mo Kio,Total,83.0,Females,590.0
Ang Mo Kio,Total,84.0,Total,960.0
Ang Mo Kio,Total,84.0,Males,400.0
Ang Mo Kio,Total,84.0,Females,560.0
Ang Mo Kio,Total,85.0,Total,820.0
Ang Mo Kio,Total,85.0,Males,320.0
Ang Mo Kio,Total,85.0,Females,500.0
Ang Mo Kio,Total,86.0,Total,580.0
Ang Mo Kio,Total,86.0,Males,240.0
Ang Mo Kio,Total,86.0,Females,350.0
Ang Mo Kio,Total,87.0,Total,450.0
Ang Mo Kio,Total,87.0,Males,190.0
Ang Mo Kio,Total,87.0,Females,260.0
Ang Mo Kio,Total,88.0,Total,410.0
Ang Mo Kio,Total,88.0,Males,170.0
Ang Mo Kio,Total,88.0,Females,240.0
Ang Mo Kio,Total,89.0,Total,440.0
Ang Mo Kio,Total,89.0,Males,160.0
Ang Mo Kio,Total,89.0,Females,280.0
Ang Mo Kio,Ang Mo Kio Town Centre,0.0,Total,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,0.0,Males,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,0.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,1.0,Total,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,1.0,Males,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,1.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,2.0,Total,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,2.0,Males,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,2.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,3.0,Total,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,3.0,Males,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,3.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,4.0,Total,40.0
Ang Mo Kio,Ang Mo Kio Town Centre,4.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,4.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,5.0,Total,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,5.0,Males,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,5.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,6.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,6.0,Males,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,6.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,7.0,Total,40.0
Ang Mo Kio,Ang Mo Kio Town Centre,7.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,7.0,Females,10.0
Ang Mo Kio,Ang Mo Kio Town Centre,8.0,Total,50.0
Ang Mo Kio,Ang Mo Kio Town Centre,8.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,8.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,9.0,Total,50.0
Ang Mo Kio,Ang Mo Kio Town Centre,9.0,Males,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,9.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,10.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,10.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,10.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,11.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,11.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,11.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,12.0,Total,70.0
Ang Mo Kio,Ang Mo Kio Town Centre,12.0,Males,40.0
Ang Mo Kio,Ang Mo Kio Town Centre,12.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,13.0,Total,50.0
Ang Mo Kio,Ang Mo Kio Town Centre,13.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,13.0,Females,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,14.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,14.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,14.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,15.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,15.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,15.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,16.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,16.0,Males,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,16.0,Females,40.0
Ang Mo Kio,Ang Mo Kio Town Centre,17.0,Total,50.0
Ang Mo Kio,Ang Mo Kio Town Centre,17.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,17.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,18.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,18.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,18.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,19.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,19.0,Males,40.0
Ang Mo Kio,Ang Mo Kio Town Centre,19.0,Females,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,20.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,20.0,Males,20.0
Ang Mo Kio,Ang Mo Kio Town Centre,20.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,21.0,Total,60.0
Ang Mo Kio,Ang Mo Kio Town Centre,21.0,Males,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,21.0,Females,30.0
Ang Mo Kio,Ang Mo Kio Town Centre,22.0,Total,50.0
Ang Mo Kio,Ang Mo Kio Town Centre,22.0,Males,20.0
